runTime,commRange,commReliability,numTaxis,numCustomers,newCustomerProb,seeRange,lazyProb,passengersDelivered,passengersSpawned,numMessagesSent,numNewParcelsComm,ticksTaxiSpentIdle,ticks,numParcelsKnownPerTickAverage,numParcelsAvailablePerTickAverage,waitingTimePassengerAverage
50000000,1,1.0,5,10,0.005,10,0.0,43,250,409064,0,240172,250010,0.04029438822447102,116.12886284548618,3.1166976744186047E7,
50000000,1,1.0,5,10,0.005,100,0.0,149,252,569472,0,213778,250010,0.15246190152393904,64.4396184152634,2.6542697986577183E7,
50000000,1,1.0,5,10,0.005,1000,0.0,196,264,3014536,0,173773,250010,6.294936202551898,27.38775648974041,2.3900736040609136E7,
50000000,1,1.0,5,10,0.005,10000,0.0,198,261,16854863,0,178012,250010,61.484884604615814,29.788116475340985,2.4093542713567838E7,
50000000,1,1.0,5,10,0.005,100000,0.0,206,281,32817167,0,197287,250010,125.26461741530339,41.78028078876845,2.4725478260869566E7,
50000000,1,1.0,5,10,0.005,1000000,0.0,194,256,28489136,0,196831,250010,107.95198592056317,27.691876324947003,2.4335507692307692E7,
50000000,1000000,1.0,5,10,0.005,10,0.0,71,269,1330755,801,233344,250010,0.32296708131674734,118.54674613015479,3.145461971830986E7,
50000000,1000000,1.0,5,10,0.005,100,0.0,144,261,1416160,1604,215645,250010,0.6645734170633175,65.58626454941802,2.4180125E7,
50000000,1000000,1.0,5,10,0.005,1000,0.0,204,240,1752229,2272,198055,250010,1.0099436022559098,19.78254469821207,2.3175624390243903E7,
50000000,1000000,1.0,5,10,0.005,10000,0.0,286,288,1876854,3168,170098,250010,1.518779248830047,2.472593096276149,2.515070731707317E7,
50000000,1000000,1.0,5,10,0.005,100000,0.0,227,229,1846931,1651,167795,250010,1.3840766369345225,0.3556617735290588,2.5776908296943232E7,
50000000,1000000,1.0,5,10,0.005,1000000,0.0,258,260,1939489,1806,152510,250010,1.7535178592856286,0.5467141314347426,2.439000772200772E7,
